Table 1
"Monthly supply and utilization, milk in all products, milk-equivalent skim-solids basis, ",,,,,,,,,,,
2011–current (millions of pounds),,,,,,,,,Back to content page.,,
,,,Farm milk supply,,,,,Utilization,,,
Year,Month,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]",
,Dec,"10,424","18,170",86,"18,084",500,"29,008","3,044","10,684","15,280",
2019,Jan,"10,684","18,612",87,"18,525",479,"29,688","3,060","11,015","15,613",
,Feb,"11,015","16,966",78,"16,888",435,"28,338","3,144","11,212","13,982",
,Mar,"11,212","18,847",87,"18,760",373,"30,345","3,698","11,066","15,581",
,Apr,"11,066","18,435",84,"18,351",500,"29,917","3,414","11,088","15,415",
,May,"11,088","19,062",87,"18,975",559,"30,622","3,630","11,267","15,725",
,Jun,"11,267","18,228",84,"18,144",513,"29,924","3,272","11,149","15,503",
,Jul,"11,149","18,379",87,"18,292",596,"30,037","3,344","11,171","15,522",
,Aug,"11,171","18,275",87,"18,188",447,"29,806","3,390","10,883","15,533",
,Sep,"10,883","17,600",84,"17,516",424,"28,823","3,556","10,736","14,531",
,Oct,"10,736","18,138",87,"18,051",484,"29,271","3,646","10,036","15,589",
,Nov,"10,036","17,499",84,"17,415",485,"27,936","3,662","10,111","14,163",
,Dec,"10,111","18,400",87,"18,313",520,"28,944","3,717","10,199","15,028",
2020,Jan,"10,199","18,875",91,"18,784",475,"29,458","3,854","10,552","15,052",
,Feb,"10,552","17,900",85,"17,815",491,"28,858","3,475","11,101","14,282",
,Mar,"11,101","19,395",91,"19,304",501,"30,906","3,873","11,558","15,475",
,Apr,"11,558","18,665",88,"18,577",469,"30,604","3,886","12,238","14,480",
,May,"12,238","18,980",91,"18,889",520,"31,647","4,402","11,844","15,401",
,Jun,"11,844","18,400",88,"18,312",482,"30,638","4,264","11,195","15,179",
,Jul,"11,195","18,740",91,"18,649",527,"30,371","4,175","11,476","14,720",
,Aug,"11,476","18,630",91,"18,539",409,"30,424","4,031","11,114","15,279",
